Gene_Symbol
HIST1H1A
HIST1H1B
HIST1H1C
HIST1H1D
HIST1H1E
HIST1H1T
HIST2H2AA3
HIST2H2AA4
HIST2H2AB
HIST2H2AC
HIST1H2AA
HIST1H2AB
HIST1H2AC
HIST1H2AD
HIST1H2AE
HIST1H2AG
HIST1H2AI
HIST1H2AJ
HIST1H2AK
HIST1H2AL
HIST1H2AM
HIST3H2A
HIST2H2BE
HIST1H2BA
HIST1H2BB
HIST1H2BC
HIST1H2BD
HIST1H2BE
HIST1H2BF
HIST1H2BG
HIST1H2BH
HIST1H2BI
HIST1H2BJ
HIST1H2BK
HIST1H2BL
HIST1H2BM
HIST1H2BN
HIST1H2BO
HIST3H2BB
HIST2H3A
HIST2H3C
HIST2H3D
HIST1H3A
HIST1H3B
HIST1H3C
HIST1H3D
HIST1H3E
HIST1H3F
HIST1H3G
HIST1H3H
HIST1H3I
HIST1H3J
HIST3H3
HIST2H4A
HIST2H4B
HIST1H4A
HIST1H4B
HIST1H4C
HIST1H4D
HIST1H4E
HIST1H4F
HIST1H4G
HIST1H4H
HIST1H4I
HIST1H4J
HIST1H4K
HIST1H4L
HIST4H4
H2AFX
H2AFY
H2AFY2
H2AFZ
H2AFV
H2AFB1
H2AFB2
H2AFB3
H2AW
H2AC1
H2AC4
H2AC6
H2AC7
H2AC8
H2AC11
H2AC12
H2AC13
H2AC14
H2AC15
H2AC16
H2AC17
H2AC18
H2AC19
H2AC20
H2AC21
H2BC1
H2BC3
H2BC4
H2BC5
H2BC6
H2BC7
H2BC8
H2BC9
H2BC10
H2BC11
H2BC12
H2BC13
H2BC14
H2BC15
H2BC17
H2BC18
H2BC21
H3C1
H3C2
H3C3
H3C4
H3C6
H3C7
H3C8
H3C10
H3C11
H3C12
H3C13
H3C14
H3C15
H4C1
H4C2
H4C3
H4C4
H4C5
H4C6
H4C8
H4C9
H4C11
H4C12
H4C13
H4C14
H4C15
H4C16
H3F3A
H3F3B
H3F3C
CENPA
H1F0
H1FX
H1FOO
H1FNT
